,Date,User,Tweet,lokasi
10,2023-02-19 05:29:26+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/57gK6bCMU2,
11,2023-02-19 04:29:18+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/Tfq6KcjVOL,
12,2023-02-18 15:42:07+00:00,Jonperiunjung3,@muhamma39967166 @BagusMuhaiminS1 @cakimiNOW @cakimin @DPP_PKB @tppkemendes @halimiskandarnu https://t.co/mlgoaVyiuE,
13,2023-02-18 13:45:54+00:00,gaspoll2024,"NGOBs lagi yuk!!

Kali ini kita ngobrol seputar Capres Pilihan Nahdliyyin bersama Mas Syarif Abdillah, Ketua FPKB DPRD Jawa Tengah

Selasa, 21 Februari 2023
Jam 20:00 - 21:30 wib

Di Twitter Spaces @gaspoll2024 

#gaspoll #GusMuhaiminAsikPoll #CakImin #CapresPilihanNahdliyin https://t.co/DrxFUZ8XuO","DKI Jakarta, Indonesia"
14,2023-02-18 13:37:08+00:00,PupungBurhani,"#CakImin
#Syaepulhooda
#TomyKurniawan
#DKNGardaBangsa
#DppPkb
#DpwPkb
#OlehSoleh https://t.co/nszXofrkdk",
15,2023-02-18 13:11:04+00:00,am_syafi,"#GusMuhaimin 
#CakImin 
Isra'mi'raj",
16,2023-02-18 11:32:07+00:00,nyak_ih_meutuah,"Capres 2024:
@aniesbaswedan
@prabowo
@airlangga_hrt
@puanmaharani_ri
@ganjarpranowo
#CakImin

Trs knp @partaigeloraid itu hy menyerang Anies B? @Fahrihamzah

Ungkit Utang Rp50 Miliar, Fahri Hamzah Mantap Pilih Prabowo Ketimbang Anies https://t.co/PODbEzs0pe",Indonesia
17,2023-02-18 11:29:22+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/Lr7ce6INtn,
18,2023-02-18 08:54:28+00:00,dpwpkbjabar,"Satu abad NU, Cinta Ulama, Cinta Santri, Cinta NKRI. 🇮🇩
Pagi tadi PKB Jabar Ikut memeriahkan &amp; berkontribusi di acara Kirab 1 abad NU Kota Bandung.
#nu #1abadnu #gusmuhaimin #muhaiminiskandar #pkb #cakimin #syaifulhuda #acepjamaludin  #Bandung
@dpp_pkb @cakiminow  @syaifulhooda https://t.co/0WDYDWdXYa","Kota Bandung, Jawa Barat"
19,2023-02-18 08:29:03+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/1dYV2Ufuy9,
20,2023-02-18 08:01:22+00:00,gaspoll2024,"Selamat memperingati Isra' Mi'raj Nabi Muhammad SAW.
18 Februari 2023

#gaspoll #GusMuhaiminAsikPoll #CakImin #isramiraj #2023M https://t.co/sY9Jm4rYmX","DKI Jakarta, Indonesia"
21,2023-02-18 04:29:45+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/LEdvORppHV,
22,2023-02-18 03:46:36+00:00,BugisLie,"#Cakimin
#DPP_PKB https://t.co/ODy1xEtBeR",
23,2023-02-18 02:24:30+00:00,sutiknopkb,"Selamat memperingati Isra Mi'raj Nabi Muhammad SAW.

#isramiraj 
#cakimin 
#sutikno 
#sutiknopkb https://t.co/mDknEpiqe1",
24,2023-02-18 01:49:32+00:00,sutiknopkb,"Mari kita bahu membahu dan terus mensukseskan agenda politik untuk mengantarkan PKB menjadi pemenang pemilu 2024 mendatang

@dpp_pkb @cakiminow @dpwpkbjakarta @pejuang_nasibrakyat @darussalam.2876 

#gusmuhaiminiskandar
#TheNext2024 
#cakimin 
#sutikno 
#sutiknopkb https://t.co/DPywJpJCYp",
25,2023-02-18 01:03:24+00:00,muhamma39967166,"#SDGsDesa 
@cakimiNOW 
@cakimin 
@DPP_PKB 
@tppkemendes 
@halimiskandarnu 
@BagusMuhaiminS1 https://t.co/a6IJWEq7xp",
26,2023-02-18 00:29:43+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/lkc63Rm2Ei,
27,2023-02-17 15:18:43+00:00,dpcpkbjaksel,"Saiful Mujani Research and Consulting merilis hasil survei calon potensial dgn latar belakang dari Nahdlatul Ulama (NU). Hasilnya Ketum PKB, @cakimin menempati posisi teratas sebagai calon presiden dari kalangan NU

@DPP_PKB @Alam_PKBJaksel

https://t.co/hhwWP4clUI",
28,2023-02-17 13:59:01+00:00,03Heriani,"Bismillah Allahumma bibarkati poro ulama NU 

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #SatuAbadNU #NahdlatulUlama #NU https://t.co/gobypoZGFv",
29,2023-02-17 13:29:49+00:00,dpwpkbjabar,"FoodBank 17 Februari 2023
Kali ini PKB Jabar melaksanakan giat foodbank di daerah Jl. babakan Cianjur, Desa Campaka, Kecamatan Andir Kota Bandung tepatnya di warung bu Ira
#Foodbank #giveaway #makanan #infobandung #GusMuhaimin #cakimin #MuhaiminIskandar #syaifulhuda  #umkm #andir https://t.co/5rYl55Y5ZN","Kota Bandung, Jawa Barat"
30,2023-02-17 12:24:07+00:00,rmp_officials,"Cak Imin menerima mandat dari Desa untuk menjadi Capres 2024 karena telah berjasa memperjuangkan UU Desa 

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #Capres2024 #Pilpres2024 https://t.co/f5SmriA630",
31,2023-02-17 11:29:28+00:00,ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/zCopeg7KgM,
